code,severity,title,week,impact_fte,impact_cost,recoverable,detail,mitigation,estimated_saving
GAP-20270118,critical,Resource shortfall of 58 FTE,2027-01-18,57.7,19769,Yes,Week commencing 18 Jan 2027 requires 460 FTE against a projected supply of 403 FTE (87% coverage). This is 22 weeks out; the recruitment pipeline is 14 weeks.,Recruitable: a cohort starting by week 8 (12 Oct) is productive in time. Approx 58 heads.,0
GAP-20270111,critical,Resource shortfall of 53 FTE,2027-01-11,52.7,18031,Yes,Week commencing 11 Jan 2027 requires 457 FTE against a projected supply of 405 FTE (88% coverage). This is 21 weeks out; the recruitment pipeline is 14 weeks.,Recruitable: a cohort starting by week 7 (05 Oct) is productive in time. Approx 53 heads.,0
GAP-20260914,critical,Resource shortfall of 43 FTE,2026-09-14,42.6,14582,No,Week commencing 14 Sep 2026 requires 365 FTE against a projected supply of 323 FTE (88% coverage). This is 4 weeks out; the recruitment pipeline is 14 weeks.,"Inside the recruitment lead time - cannot be hired for. Close with leave re-profiling, overtime, temporary cross-skilling from a covered queue, and proactive deflection of billing contacts to self-serve.",0
GAP-20260921,high,Resource shortfall of 33 FTE,2026-09-21,33.0,11301,No,Week commencing 21 Sep 2026 requires 354 FTE against a projected supply of 321 FTE (91% coverage). This is 5 weeks out; the recruitment pipeline is 14 weeks.,"Inside the recruitment lead time - cannot be hired for. Close with leave re-profiling, overtime, temporary cross-skilling from a covered queue, and proactive deflection of billing contacts to self-serve.",0
WELSH-SKILL-POOL,high,Welsh-language cover has no economies of scale,,0.0,0,Yes,The Cymraeg line runs at roughly 58 contacts a day. At that volume Erlang requires proportionally far more headcount per contact than the main voice queue - a small queue cannot pool its variance - and the skill cannot be covered by overtime from the wider floor. A single unplanned absence is a service level failure on a line customers are entitled to expect.,"Hold a minimum of two Welsh-speaking advisors rostered in every open interval regardless of the Erlang result, cross-skill Welsh speakers across billing and operations so the pool is larger than the queue, and track this line's service level separately rather than inside the blended voice figure where it will disappear.",0
IDLE-TROUGH,medium,241 FTE surplus in w/c 28 Dec,2026-12-28,241.2,158826,Yes,"Demand falls to 168 FTE against 409 available - a paid surplus of GBP 158,826 in a single week.","Schedule the January training and coaching programme into this week, run the annual compliance refresh, and open leave. Converting idle capacity into training capacity removes it from January's shrinkage, where it is far more expensive.",71472
GAP-20260928,medium,Resource shortfall of 9 FTE,2026-09-28,9.5,3240,No,Week commencing 28 Sep 2026 requires 345 FTE against a projected supply of 335 FTE (97% coverage). This is 6 weeks out; the recruitment pipeline is 14 weeks.,"Inside the recruitment lead time - cannot be hired for. Close with leave re-profiling, overtime, temporary cross-skilling from a covered queue, and proactive deflection of billing contacts to self-serve.",0
GAP-20261012,medium,Resource shortfall of 2 FTE,2026-10-12,2.2,765,No,Week commencing 12 Oct 2026 requires 334 FTE against a projected supply of 332 FTE (99% coverage). This is 8 weeks out; the recruitment pipeline is 14 weeks.,"Inside the recruitment lead time - cannot be hired for. Close with leave re-profiling, overtime, temporary cross-skilling from a covered queue, and proactive deflection of billing contacts to self-serve.",0
LEAVE-PROFILE,medium,198 FTE-weeks of leave sitting in the wrong weeks,2027-01-18,197.6,0,Yes,"The plan carries substantial surplus in the festive and shoulder weeks while the January peak runs short. Annual leave is roughly 11% of capacity and is fungible across the year, so this is capacity that already exists in the wrong place rather than capacity that has to be bought.","Restrict leave in w/c 18 Jan, w/c 11 Jan, w/c 14 Sep and actively promote it in w/c 28 Dec, w/c 21 Dec, w/c 30 Nov. Needs to be agreed with Operations before the leave window opens, which is the reason this is raised now rather than in December.",67688
FORECAST-CONFIDENCE,medium,5 service line(s) forecasting above 20% WAPE,,0.0,0,Yes,"Worst is complaints.back_office at 22.4% WAPE against a naive baseline of 26.2%. These are low-volume deferrable queues where day-to-day variation is genuinely large relative to the mean, so the error is partly irreducible rather than a modelling failure.","Plan these lines at weekly rather than daily granularity, where the error partially cancels, and hold a shared contingency pool rather than staffing each queue to its own peak. Revisit if volumes grow enough to support daily planning.",0
